src_ip,dst_ip,protocol,src_port,dst_port,packet_size,timestamp,inter_arrival_time,avg_packet_size,packet_size_variance,jitter,packets_per_second,bytes_per_second,concurrent_connections,failed_connections,retransmission_rate,src_port_entropy,dst_port_entropy,protocol_entropy,packet_size_entropy,slice_type,5qi,priority_level,max_delay_budget,gNB_id,amf_id,upf_id,nssai,tac,ran_ue_id,pdu_session_id,attack_type,is_malicious,attack_category,packet_size_ratio,connection_success_rate,traffic_intensity
10.5.82.139,10.6.0.154,17,2300,115,1263.4943836661457,1768244926.183744,0.025726645336647806,1263.4943836661457,249.16574171448264,0.0018462227531435935,38.870205847456226,49112.28678020792,5,0,0.0038616890699733858,15.999977986052736,9.99859042974533,1.0,5.696774449988854,eMBB,6,10,300,gNB_041,AMF_05,UPF_05,SST6-SD723,13036,3564217,6,Normal,0,benign,1.0,1.0,0.04911228678020792
10.5.248.209,10.6.35.251,6,9438,676,1391.8600358480162,1768272261.1837664,0.01124093873214018,1391.8600358480162,147.64810798521265,0.0009106648231401128,88.9605418042883,123820.62290477565,5,0,0.004916762595327142,15.999977986052736,9.99859042974533,1.0,5.557179558982997,mMTC,9,15,1000,gNB_020,AMF_04,UPF_01,SST9-SD346,57542,2321324,2,Normal,0,benign,1.0,1.0,0.12382062290477565
10.5.102.183,10.6.159.103,17,29735,922,1352.2503332919007,1768287619.1837876,0.011131174659656164,1352.2503332919007,129.89786118042878,0.00019623616951279738,89.83777818386056,121483.16549132929,2,0,0.009694748733977103,15.999977986052736,9.99859042974533,1.0,5.598831448315202,V2X,2,5,20,gNB_036,AMF_03,UPF_03,SST2-SD640,57176,8099076,4,Normal,0,benign,1.0,1.0,0.12148316549132929
10.5.117.151,10.6.112.2,1,42383,61,294.92036183552807,1768211744.1838086,0.01683897398171476,294.92036183552807,171.07802937574465,0.002097154932414023,59.38604104299275,17514.152712378942,7,0,0.0027335829160597927,15.999977986052736,9.99859042974533,0.5,7.795796364163092,IndustrialIoT,7,12,100,gNB_029,AMF_02,UPF_02,SST7-SD330,4197,6672134,1,Normal,0,benign,1.0,1.0,0.017514152712378942
10.5.248.55,10.6.67.186,1,32000,249,1461.2431566245118,1768277286.1838293,0.022036724314775984,1461.2431566245118,102.49999641239684,0.001539122669525647,45.378795220008435,66309.45397110243,5,0,0.0018165751265277737,15.999977986052736,9.99859042974533,0.5,5.486997433127813,URLLC,3,1,10,gNB_005,AMF_01,UPF_03,SST3-SD172,33696,4993055,5,Normal,0,benign,1.0,1.0,0.06630945397110243
10.5.216.106,10.6.239.222,1,43848,1008,1433.8414365757155,1768209539.1838493,0.010829801585603736,1433.8414365757155,75.57469254808728,0.0035887097713666253,92.33779511984037,132397.75680486602,5,0,0.025251403559022337,15.999977986052736,9.99859042974533,0.5,5.5143082110427555,V2X,2,5,20,gNB_027,AMF_04,UPF_01,SST2-SD199,43188,8231838,6,Normal,0,benign,1.0,1.0,0.132397756804866
10.5.98.49,10.6.229.36,6,19278,474,882.6078402483281,1768257735.1838691,0.05334504238700255,882.6078402483281,87.1474437759646,0.007201763420233166,18.74588443936917,16545.264578576363,10,0,0.013608747671657085,15.999977986052736,9.99859042974533,1.0,6.214349233377047,eMBB,6,10,300,gNB_004,AMF_07,UPF_03,SST6-SD919,56471,2833230,4,Normal,0,benign,1.0,1.0,0.016545264578576364
10.5.121.43,10.6.208.125,6,57689,411,1342.0476708500253,1768265531.1838892,0.02474049440796325,1342.0476708500253,42.73989053737681,9.056036355372116e-05,40.41956411663823,54244.98187950759,4,0,0.017635228397267954,15.999977986052736,9.99859042974533,1.0,5.609757782999019,URLLC,3,1,10,gNB_005,AMF_08,UPF_05,SST3-SD200,3316,1247595,2,Normal,0,benign,1.0,1.0,0.05424498187950759
10.5.216.179,10.6.249.40,17,15291,992,246.45889616810655,1768227329.183909,0.01754327690303476,246.45889616810655,45.16334131179183,0.00015650537843744296,57.001893404932396,14048.62372807171,5,0,0.0036807394320354987,15.999977986052736,9.99859042974533,1.0,8.054774738880264,eMBB,6,10,300,gNB_011,AMF_07,UPF_01,SST6-SD499,17381,8633773,5,Normal,0,benign,1.0,1.0,0.01404862372807171
10.5.244.129,10.6.80.15,6,56817,191,452.9151128123386,1768269001.1839285,0.020198989185158552,452.9151128123386,42.781516930269376,0.0003436267019201234,49.507427863507246,22422.6622758491,8,0,0.0024457477554215897,15.999977986052736,9.99859042974533,1.0,7.176881116427086,eMBB,6,10,300,gNB_038,AMF_09,UPF_01,SST6-SD865,20553,1959074,1,Normal,0,benign,1.0,1.0,0.0224226622758491
10.5.20.159,10.6.41.108,1,38066,536,1152.267014626834,1768288602.183949,0.08853150509266233,1152.267014626834,68.92980696559839,0.005989315373425532,11.295413976678027,13015.332941881006,5,0,0.003946941240822796,15.999977986052736,9.99859042974533,0.5,5.829718630408192,eMBB,6,10,300,gNB_039,AMF_02,UPF_02,SST6-SD513,7857,5130808,10,Normal,0,benign,1.0,1.0,0.013015332941881006
10.5.153.118,10.6.161.238,6,31058,637,786.503667321006,1768211947.183969,0.011483154377542066,786.503667321006,34.67688299723875,0.0011809208752212102,87.08408570694901,68491.9527738122,4,0,0.005897136211089404,15.999977986052736,9.99859042974533,1.0,6.380668303601457,mMTC,9,15,1000,gNB_017,AMF_04,UPF_03,SST9-SD344,17408,7640184,3,Normal,0,benign,1.0,1.0,0.0684919527738122
10.5.178.226,10.6.35.226,17,19700,162,1415.9434654030902,1768234457.1839883,0.022346749532624423,1415.9434654030902,102.81904551025158,0.0008584664467982666,44.74923740206968,63362.39028123212,3,0,0.012719823046711874,15.999977986052736,9.99859042974533,1.0,5.532430037531075,IndustrialIoT,7,12,100,gNB_007,AMF_02,UPF_05,SST7-SD318,33154,5449324,3,Normal,0,benign,1.0,1.0,0.06336239028123211
10.5.153.239,10.6.53.241,17,8588,912,1324.049811424848,1768220040.1840084,0.013130873827311184,1324.049811424848,48.93687097390922,0.0018235585012818642,76.15639394234972,100834.85903816459,10,0,0.021174856995125967,15.999977986052736,9.99859042974533,1.0,5.629236303306065,V2X,2,5,20,gNB_035,AMF_05,UPF_05,SST2-SD926,42859,9874152,1,Normal,0,benign,1.0,1.0,0.1008348590381646
10.5.175.53,10.6.135.130,17,60356,930,1250.792921330717,1768266471.1840374,0.025770230909765456,1250.792921330717,68.82560928480585,0.006076381550654334,38.804464092755055,48536.349003250005,6,0,0.0036967672334153067,15.999977986052736,9.99859042974533,1.0,5.711350741701633,eMBB,6,10,300,gNB_048,AMF_09,UPF_02,SST6-SD378,18466,4533779,12,Normal,0,benign,1.0,1.0,0.048536349003250004
10.5.66.164,10.6.134.42,1,47270,438,1144.4098242725086,1768260351.1840572,0.01230888699912536,1144.4098242725086,45.86016642677587,0.0007170607050562875,81.24211393532637,92974.27333225397,3,0,0.009673359082426638,15.999977986052736,9.99859042974533,0.5,5.839589913639292,eMBB,6,10,300,gNB_006,AMF_07,UPF_03,SST6-SD145,233,6596150,13,Normal,0,benign,1.0,1.0,0.09297427333225397
10.5.18.214,10.6.189.150,6,29190,131,184.77737358113632,1768274859.184078,0.013682282277850382,184.77737358113632,56.475975988335136,0.005904532220444513,73.08722183132079,13504.864892333344,7,0,0.0080285285497278,15.999977986052736,9.99859042974533,1.0,8.470333690069566,IndustrialIoT,7,12,100,gNB_001,AMF_02,UPF_01,SST7-SD807,59240,3500715,9,Normal,0,benign,1.0,1.0,0.013504864892333344
10.5.52.91,10.6.208.250,1,11152,948,1365.524896996041,1768283790.184133,0.049980574031414496,1365.524896996041,65.30208287653754,0.0002896395810042886,20.00777340755362,27321.112721469788,4,1,0.003400127028852922,15.999977986052736,9.99859042974533,0.5,5.584738083043383,eMBB,6,10,300,gNB_020,AMF_06,UPF_01,SST6-SD466,13768,5186414,11,Normal,0,benign,1.0,0.75,0.027321112721469788
10.5.210.206,10.6.127.69,1,8108,392,385.083624113934,1768223305.1841643,0.010342328107664707,385.083624113934,98.65154041163018,0.0008347392961197223,96.69002854965501,37233.74660958089,8,0,0.029510019936985227,15.999977986052736,9.99859042974533,0.5,7.4109500232131,URLLC,3,1,10,gNB_011,AMF_03,UPF_04,SST3-SD125,11755,6573147,13,Normal,0,benign,1.0,1.0,0.03723374660958089
10.5.156.211,10.6.116.58,1,13680,409,718.3230970002837,1768205540.1841862,0.015194812585305143,718.3230970002837,40.03238138690599,0.0006624232254402602,65.8119338021383,47274.23210832964,6,0,0.012281915804974812,15.999977986052736,9.99859042974533,0.5,6.511488891515043,eMBB,6,10,300,gNB_031,AMF_04,UPF_02,SST6-SD936,60192,8722606,6,Normal,0,benign,1.0,1.0,0.04727423210832964
10.5.169.241,10.6.14.30,6,39073,986,1372.0914369331579,1768236676.1842065,0.011900745139323786,1372.0914369331579,23.86199723249696,0.002392516734497696,84.0283518630852,115294.58205094557,1,0,0.013902730371653401,15.999977986052736,9.99859042974533,1.0,5.5778170746798805,mMTC,9,15,1000,gNB_018,AMF_02,UPF_03,SST9-SD459,42041,9546409,7,Normal,0,benign,1.0,1.0,0.11529458205094556
10.5.59.99,10.6.97.66,1,29601,2,279.99865562466647,1768208256.1842275,0.01575503705846943,279.99865562466647,107.33373821465568,0.002870867170970674,63.47176438169216,17772.008696999394,3,0,0.016847616825177724,15.999977986052736,9.99859042974533,0.5,7.870701895994494,mMTC,9,15,1000,gNB_003,AMF_02,UPF_05,SST9-SD544,22655,6262632,7,Normal,0,benign,1.0,1.0,0.017772008696999395
10.5.160.170,10.6.63.185,1,21293,683,1495.170498038128,1768241802.184249,0.016669763490802153,1495.170498038128,57.52694396512139,0.00023053673513417293,59.988853504236474,89693.56397066555,6,0,0.006948751774312177,15.999977986052736,9.99859042974533,0.5,5.453883693456307,IndustrialIoT,7,12,100,gNB_035,AMF_04,UPF_03,SST7-SD541,4586,6539837,10,Normal,0,benign,1.0,1.0,0.08969356397066555
10.5.194.174,10.6.89.158,17,27636,562,810.9547875968225,1768277032.184269,0.011534512960315121,810.9547875968225,299.6853320952446,0.0005959275139107933,86.69633502866861,70306.80795859691,1,0,0.008198551568448488,15.999977986052736,9.99859042974533,1.0,6.336500312819565,V2X,2,5,20,gNB_021,AMF_07,UPF_03,SST2-SD667,8342,4218542,7,Normal,0,benign,1.0,1.0,0.07030680795859691
10.5.226.114,10.6.109.131,1,12144,675,369.81653592679584,1768264460.1842895,0.04489653700231933,369.81653592679584,14.099617097693033,0.010528514143925163,22.27343280280928,8237.08376233319,7,1,0.0026200547348582664,15.999977986052736,9.99859042974533,0.5,7.4693120616218325,eMBB,6,10,300,gNB_020,AMF_05,UPF_02,SST6-SD540,51496,6406444,8,Normal,0,benign,1.0,0.8571428571428572,0.00823708376233319
10.5.158.58,10.6.101.38,6,17070,1008,1471.326778109945,1768205640.1843095,0.018404130555846537,1471.326778109945,178.8383907740805,0.00014519994930259586,54.33562845935826,79945.46515768663,2,0,0.01190015225622658,15.999977986052736,9.99859042974533,1.0,5.477076000139957,eMBB,6,10,300,gNB_019,AMF_09,UPF_05,SST6-SD443,6121,4940441,11,Normal,0,benign,1.0,1.0,0.07994546515768663
10.5.196.127,10.6.204.63,1,46088,6,560.3782188530676,1768221781.1843293,0.011024026581437722,560.3782188530676,298.82927687092246,0.000235419169098203,90.71095689154106,50832.44445333917,2,0,0.0009713946015669972,15.999977986052736,9.99859042974533,0.5,6.869720915033463,V2X,2,5,20,gNB_040,AMF_02,UPF_04,SST2-SD524,58074,4262081,12,Normal,0,benign,1.0,1.0,0.05083244445333917
10.5.25.143,10.6.127.235,17,9762,821,725.6783108949942,1768218345.1843493,0.03500170762907151,725.6783108949942,87.09859095672763,0.00014037690392111927,28.570034656521326,20732.654491755842,5,0,0.02068623493665513,15.999977986052736,9.99859042974533,1.0,6.496791644926958,eMBB,6,10,300,gNB_050,AMF_07,UPF_02,SST6-SD280,52699,9689889,8,Normal,0,benign,1.0,1.0,0.02073265449175584
10.5.218.213,10.6.228.230,1,57482,487,328.9721837957578,1768223300.1843693,0.034672333669697575,328.9721837957578,66.80986456727419,0.0015960110776701863,28.841439100303926,9488.03120463934,3,0,0.02827554967565031,15.999977986052736,9.99859042974533,0.5,7.6381561940696985,V2X,2,5,20,gNB_043,AMF_09,UPF_05,SST2-SD709,20795,8425149,10,Normal,0,benign,1.0,1.0,0.00948803120463934
10.5.122.71,10.6.225.20,6,18831,344,828.1149648409933,1768239889.1843896,0.05090229142022223,828.1149648409933,225.46741049126854,0.001596675650496674,19.645481020579844,16268.716824641877,2,0,0.005178354183574273,15.999977986052736,9.99859042974533,1.0,6.306290729407801,V2X,2,5,20,gNB_017,AMF_04,UPF_03,SST2-SD884,50966,9745959,8,Normal,0,benign,1.0,1.0,0.016268716824641878
10.5.78.181,10.6.109.17,17,22708,556,1342.797175142489,1768256816.1844125,0.01576707096180301,1342.797175142489,171.70267742181707,0.00014337327869621048,63.42332081986438,85164.65603506971,5,0,0.009763167026348336,15.999977986052736,9.99859042974533,1.0,5.60895229425313,mMTC,9,15,1000,gNB_035,AMF_02,UPF_02,SST9-SD254,15156,7426265,12,Normal,0,benign,1.0,1.0,0.08516465603506972
10.5.10.220,10.6.194.123,17,20593,772,575.3548983893072,1768203211.1844323,0.010122853747865517,575.3548983893072,21.732009749824158,0.00016792629243699304,98.78637239136818,56837.2232494839,3,0,0.02129446424531181,15.999977986052736,9.99859042974533,1.0,6.831669662479792,V2X,2,5,20,gNB_027,AMF_01,UPF_02,SST2-SD952,27535,7534336,15,Normal,0,benign,1.0,1.0,0.0568372232494839
10.5.112.70,10.6.223.125,17,23052,685,817.1983554228857,1768206243.1844516,0.021305737265621596,817.1983554228857,111.14762241711385,0.0036191268305998474,46.935714429069535,38355.78864203383,6,0,0.002112335010883104,15.999977986052736,9.99859042974533,1.0,6.325435495566678,V2X,2,5,20,gNB_027,AMF_09,UPF_05,SST2-SD919,39535,4700025,8,Normal,0,benign,1.0,1.0,0.03835578864203383
10.5.201.152,10.6.13.22,17,9917,888,674.9267258531745,1768286685.1844761,0.017958178751448204,674.9267258531745,57.096744662270325,0.000611589784657873,55.68493408160095,37583.25023904478,4,0,0.001506846849345323,15.999977986052736,9.99859042974533,1.0,6.601390913353691,V2X,2,5,20,gNB_047,AMF_03,UPF_04,SST2-SD230,64273,9961107,1,Normal,0,benign,1.0,1.0,0.037583250239044776
10.5.167.87,10.6.194.72,17,55740,84,1485.5828937119613,1768257694.1844962,0.02563323967742136,1485.5828937119613,50.20296181792253,0.0036605963764985293,39.01184604772507,57955.331140624956,7,0,0.025514277916909356,15.999977986052736,9.99859042974533,1.0,5.463164593349191,V2X,2,5,20,gNB_012,AMF_01,UPF_03,SST2-SD488,21454,4551070,8,Normal,0,benign,1.0,1.0,0.057955331140624955
10.5.20.194,10.6.15.244,6,56023,21,159.48863993869247,1768234850.1845183,0.013037663728796951,159.48863993869247,183.72629796750599,0.0020678388004654567,76.70085843610532,12232.915594104625,2,0,0.010695110514379337,15.999977986052736,9.99859042974533,1.0,8.682668128951068,V2X,2,5,20,gNB_002,AMF_09,UPF_01,SST2-SD458,14695,2151225,13,Normal,0,benign,1.0,1.0,0.012232915594104625
10.5.111.120,10.6.131.197,6,40731,622,579.2805752013496,1768250790.184538,0.011242517569714007,579.2805752013496,187.4061793972309,0.0005319055031281373,88.94804867317974,51525.8767984372,6,0,0.02441823394719271,15.999977986052736,9.99859042974533,1.0,6.821859507809873,IndustrialIoT,7,12,100,gNB_010,AMF_04,UPF_02,SST7-SD584,43874,2919136,10,Normal,0,benign,1.0,1.0,0.051525876798437203
10.5.159.148,10.6.192.102,6,39827,708,231.8655864572108,1768228434.184558,0.010572513094889399,231.8655864572108,19.6911191053562,0.0016704585445773148,94.58489112521276,21930.981250738892,6,0,0.0003086558958052223,15.999977986052736,9.99859042974533,1.0,8.142833085529718,eMBB,6,10,300,gNB_050,AMF_03,UPF_03,SST6-SD210,37925,1430812,15,Normal,0,benign,1.0,1.0,0.021930981250738894
10.5.219.170,10.6.189.18,1,23386,13,1158.8906727236315,1768268756.184579,0.01124746698921302,1158.8906727236315,169.84985914777684,0.0021074873304975828,88.90890730855745,103035.70340193713,3,0,0.013489226115995286,15.999977986052736,9.99859042974533,0.5,5.821449229402589,URLLC,3,1,10,gNB_007,AMF_05,UPF_05,SST3-SD924,7934,1689025,6,Normal,0,benign,1.0,1.0,0.10303570340193713
10.5.78.112,10.6.90.188,1,18724,631,984.6880008232869,1768270825.1846008,0.013801601427028428,984.6880008232869,16.13878951522294,0.0002765858516345682,72.455360002039,71345.92358933932,7,0,0.000180057008223027,15.999977986052736,9.99859042974533,0.5,6.056455118376878,V2X,2,5,20,gNB_032,AMF_02,UPF_04,SST2-SD470,41654,8713146,12,Normal,0,benign,1.0,1.0,0.07134592358933932
10.5.125.213,10.6.44.72,6,50207,476,1402.5218536464674,1768261526.1846223,0.016430617157420956,1402.5218536464674,118.39815055516473,0.0002719439810948272,60.861986523028804,85360.26615488468,7,1,0.0013177493763056381,15.999977986052736,9.99859042974533,1.0,5.546170450769235,IndustrialIoT,7,12,100,gNB_050,AMF_08,UPF_04,SST7-SD546,54116,5502929,6,Normal,0,benign,1.0,0.8571428571428572,0.08536026615488468
10.5.249.55,10.6.181.205,17,19351,902,1313.1711759212162,1768236301.1846426,0.017638107440008,1313.1711759212162,14.871724166343117,0.0007201019928555122,56.69542514134649,74450.79810221525,1,0,0.004409295589747316,15.999977986052736,9.99859042974533,1.0,5.641138713144382,IndustrialIoT,7,12,100,gNB_040,AMF_07,UPF_03,SST7-SD129,32395,6452832,3,Normal,0,benign,1.0,1.0,0.07445079810221525
10.5.123.185,10.6.208.126,6,46283,488,1384.912665168724,1768275207.1846626,0.024288858951100056,1384.912665168724,195.14571702083654,0.0006178660023397416,41.17113949293651,57018.43252319602,3,0,0.02642416299092215,15.999977986052736,9.99859042974533,1.0,5.564398700928964,IndustrialIoT,7,12,100,gNB_045,AMF_05,UPF_05,SST7-SD110,33858,4205394,2,Normal,0,benign,1.0,1.0,0.057018432523196015
10.5.124.79,10.6.188.122,1,23552,436,897.7248709992704,1768274983.184682,0.014946837258268102,897.7248709992704,67.15377493924387,0.008621457719406662,66.90378591275774,60061.19257789324,4,0,0.0025998616673898745,15.999977986052736,9.99859042974533,0.5,6.189848431559486,V2X,2,5,20,gNB_029,AMF_01,UPF_01,SST2-SD401,14523,7784725,12,Normal,0,benign,1.0,1.0,0.06006119257789324
10.5.61.185,10.6.98.81,1,36142,974,116.48532302986425,1768218109.1847017,0.0190526906706832,116.48532302986425,45.268888378696595,0.001150467480828454,52.48602505989993,6113.851583655994,5,0,0.028455462283350594,15.999977986052736,9.99859042974533,0.5,9.13597360728639,IndustrialIoT,7,12,100,gNB_022,AMF_06,UPF_04,SST7-SD377,20095,5217853,4,Normal,0,benign,1.0,1.0,0.006113851583655993
10.5.144.252,10.6.51.214,17,15932,370,452.7893506341432,1768227882.1847217,0.014714546864225747,452.7893506341432,62.08813752456431,0.0018520953814324071,67.95995889151142,30771.545655610524,2,0,0.01124632560240831,15.999977986052736,9.99859042974533,1.0,7.177281769132914,URLLC,3,1,10,gNB_013,AMF_04,UPF_04,SST3-SD383,47487,9801946,10,Normal,0,benign,1.0,1.0,0.030771545655610525
10.5.149.179,10.6.64.164,6,58218,13,213.49992372984804,1768266779.184741,0.012196245242721013,213.49992372984804,119.99346642631403,0.00012774351351123013,81.99244768358705,17505.38132686939,7,0,0.00014773919804782435,15.999977986052736,9.99859042974533,1.0,8.261886241816741,URLLC,3,1,10,gNB_020,AMF_01,UPF_05,SST3-SD229,17978,1763626,1,Normal,0,benign,1.0,1.0,0.01750538132686939
10.5.129.241,10.6.244.30,17,33251,76,362.5246623896952,1768211003.1847625,0.08072394298500843,362.5246623896952,106.20760024167461,0.018016478324316992,12.387898348643773,4490.918666559946,5,0,0.006033846743518454,15.999977986052736,9.99859042974533,1.0,7.498042651917264,IndustrialIoT,7,12,100,gNB_019,AMF_08,UPF_04,SST7-SD551,22329,4093109,1,Normal,0,benign,1.0,1.0,0.004490918666559946
10.5.127.31,10.6.213.156,1,15814,795,690.2776958383148,1768280574.1847823,0.02739582041061871,690.2776958383148,163.12144094092784,0.001517061689240017,36.50191835877259,25196.460098371826,1,0,0.010101301268335477,15.999977986052736,9.99859042974533,0.5,6.568944927413245,IndustrialIoT,7,12,100,gNB_041,AMF_01,UPF_02,SST7-SD252,53160,6097514,2,Normal,0,benign,1.0,1.0,0.025196460098371825
10.5.30.157,10.6.50.243,1,14853,271,264.11532236857545,1768229674.1848023,0.011744847237018788,264.11532236857545,84.52891107962881,0.00037334106006988376,85.14372131193691,22487.761401962365,2,0,0.0031253074500590026,15.999977986052736,9.99859042974533,0.5,7.954953795931914,IndustrialIoT,7,12,100,gNB_025,AMF_08,UPF_04,SST7-SD404,56372,8194570,5,Normal,0,benign,1.0,1.0,0.022487761401962365
10.5.209.116,10.6.240.75,6,19905,724,999.4396776732771,1768206717.1848223,0.011809615441598295,999.4396776732771,100.9765763005804,0.0012916580644615572,84.67676233364814,84629.31605315799,5,0,0.012167361580761493,15.999977986052736,9.99859042974533,1.0,6.035002302192415,eMBB,6,10,300,gNB_011,AMF_04,UPF_02,SST6-SD665,4920,3626181,1,Normal,0,benign,1.0,1.0,0.08462931605315799
10.5.101.109,10.6.58.140,1,10788,931,930.1264291937334,1768231905.1848414,0.031170690200467407,930.1264291937334,18.591448357634707,0.003957318571718485,32.081419871318886,29839.776508374718,7,0,0.009842756908468862,15.999977986052736,9.99859042974533,0.5,6.138694965676899,mMTC,9,15,1000,gNB_045,AMF_08,UPF_01,SST9-SD803,15298,5438490,13,Normal,0,benign,1.0,1.0,0.02983977650837472
10.5.147.113,10.6.63.120,1,27402,966,776.7819309809754,1768242296.184861,0.015694680358411518,776.7819309809754,181.70989551983283,0.00012259194210431683,63.71585640252003,49493.325970456055,8,0,0.004852032785980169,15.999977986052736,9.99859042974533,0.5,6.398612154206962,mMTC,9,15,1000,gNB_010,AMF_02,UPF_01,SST9-SD269,51946,6160869,10,Normal,0,benign,1.0,1.0,0.049493325970456054
10.5.221.189,10.6.165.155,6,7009,235,1381.2622943637807,1768235255.1848798,0.04481556355495015,1381.2622943637807,78.62042352520781,0.0034986159105646307,22.313676782706526,30821.04038857304,8,2,0.01151522505094386,15.999977986052736,9.99859042974533,1.0,5.568206395663977,mMTC,9,15,1000,gNB_033,AMF_09,UPF_04,SST9-SD548,5272,1668752,15,Normal,0,benign,1.0,0.75,0.030821040388573043
